City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kuytun,39.5108,54.3671,67.6,46,63,8.28,TM,1618462100
mundo nuevo,20.8947,-156.47,75.2,64,20,19.57,US,1618462083
natchitoches,-19.55,169.2667,81.9,77,65,6.53,VU,1618461951
inhambupe,-34.5833,150.8552,79,39,1,7,AU,1618461811
felidhoo,-6.1219,141.2906,91.81,42,58,4,PG,1618462101
xiaoshi,33.9905,50.6838,63.18,33,0,3.85,IR,1618462102
kaeo,-3.945,122.4989,88.68,51,72,4.32,ID,1618462102
saurimo,-8.6833,36.7167,64.18,95,98,1.39,TZ,1618462102
maniitsoq,28.2333,83.9833,90.5,10,28,8.7,NP,1618462103
rio gallegos,-0.7758,34.9453,54.75,90,82,2.48,KE,1618462103
smiltene,9.4942,50.8122,83.26,60,98,7.27,SO,1618462104
jiblah,-37.8333,140.7667,60.8,77,40,16.11,AU,1618462104
tiznit,36.0998,0.4206,57.96,88,100,8.95,DZ,1618462105
iralaya,39.05,-27.9833,60.48,88,53,10.25,PT,1618462105
kutum,12.524,-70.027,81,89,75,17.27,AW,1618462019
sorong,-17.8,-63.1667,73.4,69,72,5.68,BO,1618461810
chumikan,50.3643,108.7512,37.76,35,90,11.86,RU,1618462106
beckley,-12.2333,136.7667,87.8,58,75,12.66,AU,1618462106
nurota,-25.2406,130.9889,66.2,68,40,16.11,AU,1618462107
denpasar,47.6666,-52.7314,32,100,90,11.5,CA,1618462107
alekseyevskaya,20.5667,78.8333,82.4,39,40,4.61,IN,1618462108
davidson,-5.2269,-75.6753,72.54,98,99,2.33,PE,1618462108
mangla,-35.3333,-72.4167,55.67,72,3,8.57,CL,1618461858
sola,22.8909,-109.9124,73.99,30,37,14.32,MX,1618462018
san fernando,50.2289,-99.4664,28.4,80,90,5.75,CA,1618462109
tacuarembo,39.2342,106.3439,42.31,23,8,30.27,CN,1618462109
puerto leguizamo,54.3417,89.9261,39.43,74,100,3.65,RU,1618462110
weihe,-20.7333,139.5,95,20,40,10.36,AU,1618462110
mackay,52.4503,64.6311,50.22,47,7,3.62,KZ,1618462110
emba,45.5234,-122.6762,64.4,27,20,5.75,US,1618461875
sisimiut,24.9,-76.2,71.22,64,0,11.79,BS,1618462111
strezhevoy,36.9188,34.8784,53.6,100,61,3.62,TR,1618462111
balkanabat,40.7391,-114.0733,42.8,61,90,3.04,US,1618462081
kahului,14.4,-89.2,69.62,82,98,2.53,HN,1618462112
isangel,65.8252,21.6886,28.4,69,0,6.91,SE,1618462112
flinders,50.6321,87.9563,44.73,45,29,1.12,RU,1618462113
kiunga,52.1415,-122.1445,51.8,37,1,5.75,CA,1618462113
delijan,31.2089,16.5887,59.76,79,100,7.49,LY,1618462114
kendari,21.6967,-78.6328,69.01,81,0,8.7,CU,1618462114
mahenge,53.0452,158.6483,41,87,75,15.66,RU,1618461905
pokhara,13.7667,109.2333,83.19,68,75,12.28,VN,1618462115
keroka,25.5198,90.2201,93,30,95,6.87,IN,1618462115
naftah,36.6777,-121.6555,53.6,76,90,5.75,US,1618461872
bandarbeyla,63.1792,14.6357,28,86,0,6.91,SE,1618462116
mount gambier,-13.8745,-171.5986,86,74,75,5.75,WS,1618462117
sidi ali,41.7597,86.1469,64.98,19,7,7.09,CN,1618462118
lagoa,44.5833,25.3333,42.01,87,0,8.05,RO,1618462118
oranjestad,-25.4,-70.4833,62.38,82,6,0.92,CL,1618462118
santa cruz,-22.9575,14.5053,80.01,30,0,1.99,NA,1618461897
krasnyy chikoy,-23.6752,22.7876,64.08,37,4,0.45,BW,1618462119
nhulunbuy,69.4058,86.1778,15.53,93,100,13.96,RU,1618462119
yulara,64.0019,44.4451,35.22,68,8,10.69,RU,1618462120
saleaula,-7.4706,-34.8086,75.2,100,20,4.61,BR,1618462120
torbay,41.2547,67.9692,62.56,40,0,4.05,KZ,1618462121
hinganghat,7.3022,-8.5308,69.26,98,90,1.63,LR,1618462121
lagunas,4.7084,6.7931,75.85,92,90,4.72,NG,1618462122
constitucion,-33.295,-66.3356,61.54,64,0,7.38,AR,1618462122
cabo san lucas,32.8663,59.2211,59,55,75,4.61,IR,1618462100
neepawa,-7.6331,109.2461,85.53,64,44,6.98,ID,1618462123
shitanjing,39.2667,141.8833,51.8,46,75,11.5,JP,1618462123
tuim,-23.6678,-46.4614,63,82,75,5.75,BR,1618461890
mount isa,1.3965,34.4509,62.83,64,82,2.82,UG,1618462124
kushmurun,28.017,-97.5169,77,88,1,8.05,US,1618462124
portland,60.7167,-46.0333,30.2,80,17,2.3,GL,1618462125
rock sound,39.1834,-84.5333,48.99,87,1,5.59,US,1618462125
sukhoverkovo,26.1842,127.7558,75.2,60,75,10.36,JP,1618461966
tarsus,51.3813,1.3862,41,69,16,4,GB,1618461920
west wendover,33.7499,45.5541,69.69,25,0,14.81,IQ,1618462021
antigua ocotepeque,67.6333,134.6333,18.25,72,81,0.63,RU,1618462126
boden,69.3,139.9,1.6,88,99,4.03,RU,1618462126
ulagan,22.9333,97.75,94.35,14,81,4.68,MM,1618461910
williams lake,35.55,133.2333,60.8,41,40,17.27,JP,1618461957
cam pha,9.4515,18.9449,85.62,18,99,4.52,TD,1618462127
surt,60.8156,-115.7999,33.8,55,18,3.44,CA,1618461905
baragua,21.4267,39.8261,81.41,31,60,1.86,SA,1618462128
petropavlovsk-kamchatskiy,41.1415,-73.3579,48.99,93,90,12.66,US,1618461869
qui nhon,-3.432,10.6554,77.58,88,100,4.36,GA,1618462128
tura,26.5881,127.9761,75.2,60,90,11.5,JP,1618461869
salinas,48.2333,129.5,49.71,24,30,4.65,CN,1618462129
ostersund,-29.4779,30.2306,63,96,5,3.71,ZA,1618462041
lufilufi,61.25,73.4167,50,57,0,13.42,RU,1618462130
korla,29.1614,16.139,60.89,40,99,3.13,LY,1618462130
visina,63.9061,38.1404,32.65,80,6,8.19,RU,1618462130
taltal,54.3161,-130.3201,46.4,76,1,3.44,CA,1618462131
walvis bay,70.6345,29.7185,26.6,68,0,11.5,NO,1618462131
kang,-4.2761,-55.9836,73.36,96,100,0.83,BR,1618462065
dudinka,28.9684,50.8385,73.4,56,0,19.57,IR,1618462132
karpogory,-34.0033,24.7314,59.22,90,37,2.98,ZA,1618461994
tungkang,-28.1887,23.5395,63.93,37,47,6.2,ZA,1618462132
pitimbu,63.8567,57.3094,36.84,72,100,12.77,RU,1618462133
mys shmidta,4.9517,8.322,75.15,91,99,3.42,NG,1618462133
bur gabo,-23.7167,44.3833,76.53,66,1,1.28,MG,1618462134
chardara,38.4953,102.1739,52.83,14,7,12.17,CN,1618462134
ganta,-0.6136,-47.3561,78.91,87,95,8.63,BR,1618462134
abonnema,-26.6481,15.1594,78.42,25,0,17.83,NA,1618461889
san luis,6.1241,81.1185,87.8,74,40,4.61,LK,1618462135
birjand,-3.2778,-39.2689,75,93,85,6.17,BR,1618462136
kroya,5.3833,-52.95,77.97,89,98,8.25,GF,1618461898
koboldo,-15.3833,-62.95,75.11,76,100,0.36,BO,1618462136
kamaishi,4.9333,-52.3333,81,94,75,2.3,GF,1618462137
maua,1.7427,98.7792,86.81,62,90,5.79,ID,1618462137
kapchorwa,-28.24,-48.6703,68,88,0,4.61,BR,1618462138
san patricio,51.2585,-80.6094,32,100,90,6.91,CA,1618461938
qaqortoq,54.5163,-128.6035,53.6,47,20,11.5,CA,1618461905
hamilton,9.3086,15.8066,86.02,29,95,5.61,TD,1618462139
nishihara,-33.0117,17.9442,66.2,59,73,6.91,ZA,1618462140
margate,55.8951,27.168,39.24,74,100,11.01,LV,1618462140
mandali,43.3717,-1.7738,39.99,87,0,2.3,FR,1618462140
batagay,-8.8368,13.2343,78.8,89,40,5.75,AO,1618462141
deputatskiy,16.8687,102.5664,97,52,40,2.3,TH,1618462141
lashio,33.9674,36.6574,55.99,61,0,4.61,SY,1618462142
sakaiminato,-14.8796,47.9875,77.36,85,89,4.23,MG,1618462142
amderma,42.4165,-122.8345,59,26,1,4.61,US,1618462142
kyabe,9.85,76.9667,75.54,85,99,0.72,IN,1618462143
hay river,-15.7667,128.7333,95,20,44,5.75,AU,1618462144
mecca,43.7501,-81.7165,39.2,81,90,6.91,CA,1618462144
westport,8.9936,-79.5197,80.6,83,90,3.18,PA,1618462144
mayumba,-9.4431,147.1797,84.2,70,40,19.57,PG,1618462145
nago,24.0934,32.907,75.38,16,0,8.59,EG,1618462145
xinqing,48.8286,-67.522,30.99,49,0,4,CA,1618461944
ciras,-38.3667,178.3,66.92,55,55,7.36,NZ,1618462146
howick,17.8815,-76.4093,78.8,53,20,5.75,JM,1618462146
ketchenery,69.4154,30.8136,24.8,68,0,5.75,RU,1618462146
surgut,53.8251,-101.2541,32,51,90,4.61,CA,1618462147
waddan,-6.2167,149.55,84.38,65,92,6.22,PG,1618462147
onega,48.9329,-125.5528,48,77,5,3.53,CA,1618462036
prince rupert,15.85,-97.0667,78.8,78,1,7.49,MX,1618461949
batsfjord,6.5423,21.9863,73.13,65,75,2.59,CF,1618462148
itaituba,-45.4167,167.7167,54.54,83,83,6.38,NZ,1618462148
bushehr,8.0563,-1.7306,74.8,73,78,4.07,GH,1618462149
kruisfontein,9.65,-9.7833,69.71,79,99,2.33,GN,1618462149
danielskuil,5.7856,-6.6083,73.17,97,72,2.04,CI,1618462149
vuktyl,32.6881,128.8419,60.8,48,0,4.61,JP,1618462150
calabar,6.4965,2.6036,82.4,83,40,9.22,BJ,1618462150
betioky,65.087,12.3715,41,93,75,18.41,NO,1618462151
jinchang,52.7833,126.5333,42.84,30,57,6.91,RU,1618462151
salinopolis,-9.6658,-35.7353,73.4,100,75,4.61,BR,1618461861
luderitz,49.7502,-77.6328,41,100,75,14.97,CA,1618462151
guelengdeng,42.6191,-113.6772,35.6,87,90,9.22,US,1618462152
hambantota,18.1725,120.5953,87.8,74,20,8.05,PH,1618462152
trairi,3.4568,8.5547,80.6,89,20,3.44,GQ,1618462153
sinnamary,7.7102,81.6924,85.37,63,66,1.57,LK,1618462153
urubicha,58.6881,99.1844,34.45,60,63,8.95,RU,1618462153
cayenne,40.7834,-73.9662,59,77,90,5.99,US,1618462152
sibolga,58.8053,-122.7002,51.8,37,40,3.44,CA,1618462154
imbituba,-7.7136,-66.9764,71.82,99,100,1.23,BR,1618462155
moose factory,54.675,20.1347,39.2,87,90,17.9,RU,1618462155
terrace,14.7208,-92.4215,80.6,89,40,2.86,MX,1618462156
kelo,40.125,116.6453,73,42,2,11.18,CN,1618462156
saldanha,-3.3333,128.9167,85.32,61,72,8.3,ID,1618462157
kraslava,-17.5333,-149.3333,80.6,78,75,3.44,PF,1618462157
hendaye,9,-71.9135,75.6,93,100,6.82,VE,1618462157
luanda,40.1629,-8.3327,59,94,40,1.14,PT,1618462158
non sang,51.6708,82.7289,49.3,59,94,5.99,RU,1618462158
yabrud,-15.1961,12.1522,79.45,79,22,3.65,AO,1618462158
antsohihy,33.1284,-107.2528,71.6,10,1,11.5,US,1618462159
jackson,9.56,44.065,74.05,45,9,16.84,SO,1618462159
idukki,-2.9667,-47.4833,71.83,98,89,2.66,BR,1618462085
burica,49.8496,-124.5361,59,31,20,4.61,CA,1618462160
temaraia,27.1172,114.9793,67.28,78,100,3.09,CN,1618462160
kununurra,27.6333,80.2,101.93,8,62,9.42,IN,1618462161
goderich,64.1835,-51.7216,23,93,90,27.63,GL,1618462161
panama city,43.213,-8.691,48.99,71,0,3.44,ES,1618462162
port moresby,50.4111,80.2275,53.6,30,0,4.47,KZ,1618462162
aswan,53.1436,0.3363,39.99,93,20,6.91,GB,1618462162
matane,-36.8927,-60.3225,57.99,86,0,1.01,AR,1618462163
tolaga bay,33.9997,119.8308,63.91,44,60,13.35,CN,1618462163
morant bay,-2.9248,-39.9167,76.75,88,97,9.06,BR,1618462164
zapolyarnyy,47.9077,106.8832,30.2,43,40,13.42,MN,1618461896
the pas,-23.9931,-46.2564,73.99,26,39,1.01,BR,1618462078
kandrian,47.8123,38.2882,48.09,78,57,7.74,UA,1618462164
palabuhanratu,32.7593,-97.7972,59,89,100,5.01,US,1618462165
ucluelet,42.4308,130.6434,49.12,43,75,12.62,RU,1618462165
puerto escondido,34.1743,-97.1436,54,94,90,10.36,US,1618462165
bria,7.9868,117.0645,84.81,68,68,9.84,PH,1618462166
te anau,-7.95,110.2833,85.66,66,26,10.11,ID,1618462166
